tourney_id,tourney_name,tourney_spectators,year
2016-0891/A/chennai,Chennai,3662,2016
2016-7559/C/fano ch,Fano CH,3661,2016
2016-W-C25-KAZ-02A-2016/25/almaty $25k,Almaty $25K,3653,2016
2016-W-C10-EGY-25A-2016/10/sharm el sheikh $10k,Sharm El Sheikh $10K,3650,2016
2016-W-C50-JPN-03A-2016/50/toyota $50k,Toyota $50K,3649,2016
2016-W-C50-USA-12A-2016/50/waco tx $50k,Waco TX $50K,3640,2016
2016-7318/C/columbus ch,Columbus CH,3638,2016
2016-3618/C/astana ch,Astana CH,3637,2016
2016-W-C10-USA-04B-2016/10/austin tx $10k,Austin TX $10K,3632,2016
2016-W-C25-ROU-01A-2016/25/mamaia $25k,Mamaia $25K,3631,2016
2016-7161/A/quito,Quito,3630,2016
2016-W-C25-USA-15A-2016/25/redding ca $25k,Redding CA $25K,3623,2016
2016-W-C25-RUS-02A-2016/25/moscow $25k,Moscow $25K,3622,2016
2016-W-C25-CAN-01A-2016/25/winnipeg $25k,Winnipeg $25K,3621,2016
2016-7100/C/pune ch,Pune CH,3614,2016
2016-M001/P/sydney,Sydney,3612,2016
2016-M001/A/sydney,Sydney,3612,2016
2016-W-C25-GER-03A-2016/25/braunschweig $25k,Braunschweig $25K,3612,2016
2016-W-C10-HUN-02A-2016/10/gyor $10k,Gyor $10K,3612,2016
2016-0602/P/new haven,New Haven,3602,2016
2016-W-C10-RSA-01A-2016/10/stellenbosch $10k,Stellenbosch $10K,3594,2016
2016-W-C10-ARG-02A-2016/10/villa del dique $10k,Villa del Dique $10K,3592,2016
2016-W-C25-USA-06A-2016/25/naples fl $25k,Naples FL $25K,3590,2016
2016-W-C10-CZE-02A-2016/10/prague $10k,Prague $10K,3588,2016
2016-2205/C/noumea ch,Noumea CH,3587,2016
2016-7391/C/guayaquil ch,Guayaquil CH,3584,2016
2016-7025/C/mohammedia ch,Mohammedia CH,3581,2016
2016-W-C10-KAZ-02A-2016/10/shymkent $10k,Shymkent $10K,3581,2016
2016-5047/C/bangkok ch,Bangkok CH,3580,2016
2016-W-C10-ISR-08A-2016/10/tel aviv ramat gan $10k,Tel Aviv Ramat Gan $10K,3580,2016
2016-W-C25-JPN-01A-2016/25/karuizawa $25k,Karuizawa $25K,3579,2016
2016-W-C10-GRE-11A-2016/10/heraklion $10k,Heraklion $10K,3578,2016
